protein_cluster	sequence_id	cluster_size
PC0009	5wos_2	17
PC0009	6e3i_2	17
PC0009	6e3j_2	17
PC0009	6fbx_2	17
PC0010	1yd8_1	15
PC0010	2dx5_2	15
PC0010	2hth_1	15
PC0010	2k6d_2	15
PC0010	2knb_1	15
PC0010	2mur_2	15
PC0010	2oob_2	15
PC0010	3kw5_2	15
PC0010	4hcn_2	15
PC0010	4i6l_2	15
PC0010	5hpk_2	15
PC0010	5hps_2	15
PC0010	5v5h_2	15
PC0010	5xiu_2	15
PC0010	6dgf_2	15
PC0011	1dzb_2	13
PC0011	1op9_1	13
PC0011	1ri8_1	13
PC0011	1rjc_1	13
PC0011	1zvh_1	13
PC0011	1zvy_1	13
PC0011	3m18_2	13
PC0011	4cj2_1	13
PC0011	4gla_1	13
PC0011	4gn4_1	13
PC0011	4i0c_1	13
PC0011	6jb2_2	13
PC0011	6jb8_2	13
PC0012	1e96_1	13
PC0012	1grn_1	13
PC0012	1he8_2	13
PC0012	1zc3_1	13
PC0012	1zc4_1	13
PC0012	2fju_1	13
PC0012	4d0n_1	13
PC0012	4js0_1	13
PC0012	5fr1_1	13
PC0012	5szk_2	13
PC0012	5tar_1	13
PC0012	5xco_1	13
PC0012	6amb_1	13
PC0013	1h1v_1	12
PC0013	1t44_2	12
PC0013	2btf_1	12
PC0013	2v51_1	12
PC0013	2v52_1	12
PC0013	3sjh_1	12
PC0013	3u8x_1	12
PC0013	3u9d_1	12
PC0013	3u9z_1	12
PC0013	4b1v_1	12
PC0013	4b1x_1	12
PC0013	4b1y_1	12
PC0014	1an1_1	11
PC0014	1avx_1	11
PC0014	1c9p_1	11
PC0014	1f5r_1	11
PC0014	1f7z_1	11
PC0014	1fy8_1	11
PC0014	2ftl_1	11
PC0014	3rdz_1	11
PC0014	3tgk_1	11
PC0014	4an7_1	11
PC0014	4doq_1	11
PC0015	1dfj_1	11
PC0015	2p42_1	11
PC0015	2p43_1	11
PC0015	2p44_1	11
PC0015	2p45_1	11
PC0015	2p47_1	11
PC0015	2p48_1	11
PC0015	2p49_1	11
PC0015	2p4a_1	11
PC0015	3qsk_1	11
PC0015	4pou_1	11
PC0016	1acb_2	10
PC0016	1lw6_2	10
PC0016	1tm3_2	10
PC0016	1tm7_2	10
PC0016	1to1_2	10
PC0016	1y3c_2	10
PC0016	1y3d_2	10
PC0016	1y48_2	10
PC0016	1y4a_2	10
PC0016	2sni_2	10
PC0017	1ay7_2	10
PC0017	1b2s_2	10
PC0017	1b2u_2	10
PC0017	1b3s_2	10
PC0017	1brs_2	10
PC0017	1x1w_2	10
PC0017	1x1x_2	10
PC0017	1x1y_2	10
PC0017	2za4_2	10
PC0017	3da7_1	10
PC0018	2fuh_1	9
PC0018	2uyz_1	9
PC0018	3h8k_1	9
PC0018	4a49_2	9
PC0018	5d1k_1	9
PC0018	5d1l_1	9
PC0018	5d1m_1	9
PC0018	5ywr_1	9
PC0018	6d4p_1	9
PC0019	1h0t_1	8
PC0019	1lp1_1	8
PC0019	1lp1_2	8
PC0019	2b87_1	8
PC0019	2m5a_1	8
PC0019	3mzw_2	8
PC0019	5djt_2	8
PC0019	5dju_1	8
PC0020	1pjm_2	8
PC0020	3ukx_1	8
PC0020	3ukz_1	8
PC0020	3ul0_1	8
PC0020	6bw9_1	8
PC0020	6iu7_1	8
PC0020	6iua_1	8
PC0020	6iwa_2	8
PC0021	1tm1_2	8
PC0021	1tm4_2	8
PC0021	1tm5_2	8
PC0021	1y1k_2	8
PC0021	1y33_2	8
PC0021	1y34_2	8
PC0021	1y3b_2	8
PC0021	3rdz_2	8
PC0022	1vrk_1	8
PC0022	2vay_1	8
PC0022	4lzx_1	8
PC0022	4m1l_1	8
PC0022	5tp6_1	8
PC0022	6mba_2	8
PC0022	6mc9_2	8
PC0022	6mud_1	8
PC0023	1b2u_1	7
PC0023	1b3s_1	7
PC0023	1x1u_1	7
PC0023	1x1w_1	7
PC0023	1x1x_1	7
PC0023	1x1y_1	7
PC0023	2za4_1	7
PC0024	1g5j_2	7
PC0024	2m04_2	7
PC0024	2wh6_2	7
PC0024	3kj0_2	7
PC0024	3kj1_2	7
PC0024	3kj2_2	7
PC0024	5vmo_2	7
PC0025	1jtd_1	7
PC0025	2g2u_1	7
PC0025	2g2w_1	7
PC0025	3c4p_1	7
PC0025	3n4i_1	7
PC0025	3qhy_1	7
PC0025	5npo_1	7
PC0026	1l8c_1	7
PC0026	1r8u_2	7
PC0026	2k8f_1	7
PC0026	2ka4_1	7
PC0026	2ka6_1	7
PC0026	2lww_1	7
PC0026	2mzd_1	7
PC0027	2kwj_2	7
PC0027	2kwk_2	7
PC0027	2kwo_2	7
PC0027	5b75_1	7
PC0027	5b76_1	7
PC0027	5b77_1	7
PC0027	5b78_1	7
PC0028	2p42_2	7
PC0028	2p43_2	7
PC0028	2p44_2	7
PC0028	2p45_2	7
PC0028	2p46_2	7
PC0028	2p47_2	7
PC0028	2p48_2	7
PC0029	2v4z_1	7
PC0029	3cx6_1	7
PC0029	3cx7_1	7
PC0029	3cx8_1	7
PC0029	3onw_1	7
PC0029	4ekc_1	7
PC0029	4ekd_1	7
PC0030	3zu7_2	7
PC0030	4k5a_2	7
PC0030	5ma6_2	7
PC0030	6fp7_2	7
PC0030	6h46_2	7
PC0030	6ne1_2	7
PC0030	6ne4_1	7
PC0031	1rkc_1	6
PC0031	1rke_1	6
PC0031	1syq_1	6
PC0031	1ydi_1	6
PC0031	2gww_1	6
PC0031	2hsq_1	6
PC0032	2iy1_2	6
PC0032	2uyz_2	6
PC0032	3a4s_2	6
PC0032	5elu_2	6
PC0032	5eql_2	6
PC0032	5tvq_2	6
PC0033	2vln_2	6
PC0033	2vlo_2	6
PC0033	2vlp_2	6
PC0033	2vlq_2	6
PC0033	2wpt_2	6
PC0033	3u43_2	6
PC0034	1eaw_1	5
PC0034	1gl0_1	5
PC0034	1shy_1	5
PC0034	1zjd_1	5
PC0034	4nzl_1	5
PC0035	1emv_1	5
PC0035	2vln_1	5
PC0035	2vlo_1	5
PC0035	2vlq_1	5
PC0035	3u43_1	5
PC0036	1kac_2	5
PC0036	1p69_2	5
PC0036	1p6a_2	5
PC0036	2j12_2	5
PC0036	2j1k_1	5
PC0037	1lx5_1	5
PC0037	2gh0_1	5
PC0037	5mr4_1	5
PC0037	5mr5_1	5
PC0037	5vz4_1	5
PC0038	1u5s_1	5
PC0038	1wa7_1	5
PC0038	2knb_2	5
PC0038	2lz6_2	5
PC0038	4afz_2	5
PC0039	2a24_1	5
PC0039	2a24_2	5
PC0039	3f1p_2	5
PC0039	4h6j_1	5
PC0039	4h6j_2	5
PC0040	2m55_1	5
PC0040	2n8j_1	5
PC0040	4ehq_1	5
PC0040	5j8h_1	5
PC0040	6oqq_2	5
PC0041	2mnu_1	5
PC0041	3rzw_2	5
PC0041	3uyo_2	5
PC0041	4je4_2	5
PC0041	5mtj_2	5
PC0042	2xa0_1	5
PC0042	4a1u_1	5
PC0042	5agw_1	5
PC0042	5jsn_1	5
PC0042	6qb3_1	5
PC0043	3c59_1	5
PC0043	3c5t_1	5
PC0043	3iol_1	5
PC0043	4zgm_1	5
PC0043	5otx_1	5
PC0044	3mzg_1	5
PC0044	3n06_1	5
PC0044	3n0p_1	5
PC0044	3ncb_1	5
PC0044	3ncc_1	5
PC0045	3mzg_2	5
PC0045	3n06_2	5
PC0045	3n0p_2	5
PC0045	3ncb_2	5
PC0045	3ncc_2	5
PC0046	3uyp_1	5
PC0046	3uzq_2	5
PC0046	5aam_2	5
PC0046	5aaw_2	5
PC0046	5kve_1	5
PC0047	4jeg_2	5
PC0047	5dc4_2	5
PC0047	5g15_2	5
PC0047	5mtm_2	5
PC0047	5mtn_2	5
PC0048	4z9k_1	5
PC0048	5boz_1	5
PC0048	5j56_1	5
PC0048	5j57_1	5
PC0048	5u4m_1	5
PC0049	5un5_1	5
PC0049	6ndz_1	5
PC0049	6ne1_1	5
PC0049	6ne2_2	5
PC0049	6ne4_2	5
PC0050	1h0t_2	4
PC0050	2b87_2	4
PC0050	2m5a_2	4
PC0050	5u4y_2	4
PC0051	1j2j_1	4
PC0051	3bh6_1	4
PC0051	3doe_1	4
PC0051	5ee5_2	4
PC0052	1k93_2	4
PC0052	1mxe_1	4
PC0052	2wel_2	4
PC0052	3dvm_1	4
PC0053	1th1_1	4
PC0053	1v18_1	4
PC0053	3ouw_1	4
PC0053	3oux_1	4
PC0054	2be6_1	4
PC0054	2be6_2	4
PC0054	2lqc_1	4
PC0054	3tz1_1	4
PC0055	2g2u_2	4
PC0055	2g2w_2	4
PC0055	3e2l_2	4
PC0055	3n4i_2	4
PC0056	2hev_2	4
PC0056	3me2_2	4
PC0056	4giq_2	4
PC0056	5bnq_2	4
PC0057	2jjs_2	4
PC0057	4cmm_2	4
PC0057	5imk_2	4
PC0057	5imm_2	4
PC0058	2k79_2	4
PC0058	2k7a_2	4
PC0058	5dc4_1	4
PC0058	5mtm_1	4
PC0059	2omt_2	4
PC0059	2omv_2	4
PC0059	2omy_2	4
PC0059	2omz_2	4
PC0060	2omu_2	4
PC0060	2omw_2	4
PC0060	2omx_2	4
PC0060	3ff8_1	4
PC0061	2omv_1	4
PC0061	2omx_1	4
PC0061	2omy_1	4
PC0061	2omz_1	4
PC0062	2rnr_2	4
PC0062	2ruk_2	4
PC0062	2rvb_2	4
PC0062	5xv8_2	4
PC0063	2v5q_2	4
PC0063	3zuv_2	4
PC0063	5o2t_2	4
PC0063	6h47_2	4
PC0064	2ver_2	4
PC0064	6aw2_1	4
PC0064	6gbg_1	4
PC0064	6gbh_1	4
PC0065	2wp3_1	4
PC0065	2wp3_2	4
PC0065	2wwk_2	4
PC0065	4c4k_1	4
PC0066	3f50_1	4
PC0066	3o40_2	4
PC0066	3o43_2	4
PC0066	4dzv_2	4
PC0067	3gj4_2	4
PC0067	3gj5_2	4
PC0067	3gj6_2	4
PC0067	3gj8_2	4
PC0068	3ixe_1	4
PC0068	4b93_2	4
PC0068	6ndz_2	4
PC0068	6ne2_1	4
PC0069	3p71_2	4
PC0069	5inb_1	4
PC0069	5j28_1	4
PC0069	5zqv_1	4
PC0070	3qbr_2	4
PC0070	3ukz_2	4
PC0070	3ul0_2	4
PC0070	4uf1_2	4
PC0071	3uyo_1	4
PC0071	4je4_1	4
PC0071	5eg3_2	4
PC0071	5mtj_1	4
PC0072	5kxh_1	4
PC0072	5ky0_1	4
PC0072	5ky4_1	4
PC0072	5ky9_1	4
PC0073	5kxh_2	4
PC0073	5ky0_2	4
PC0073	5ky4_2	4
PC0073	5ky5_2	4
PC0074	1ak4_1	3
PC0074	2x2d_1	3
PC0074	2xgy_2	3
PC0075	1an1_2	3
PC0075	1r0r_2	3
PC0075	3sgb_2	3
PC0076	1b27_1	3
PC0076	1b2s_1	3
PC0076	1brs_1	3
PC0077	1c9p_2	3
PC0077	1c9t_2	3
PC0077	1eja_2	3
PC0078	1fle_1	3
PC0078	1mcv_1	3
PC0078	2z7f_1	3
PC0079	1fle_2	3
PC0079	2z7f_2	3
PC0079	4doq_2	3
PC0080	1fmo_2	3
PC0080	2cpk_2	3
PC0080	2gng_2	3
PC0081	1gl0_2	3
PC0081	1gl1_2	3
PC0081	2xtt_1	3
PC0082	1gua_2	3
PC0082	3kuc_2	3
PC0082	3kud_2	3
PC0083	1j7v_1	3
PC0083	1y6k_1	3
PC0083	1y6m_1	3
PC0084	1j7v_2	3
PC0084	1y6m_2	3
PC0084	1y6n_2	3
PC0085	1lx5_2	3
PC0085	1nys_1	3
PC0085	1s4y_1	3
PC0086	1m10_1	3
PC0086	1sq0_1	3
PC0086	4c2a_1	3
PC0087	1p69_1	3
PC0087	1p6a_1	3
PC0087	2j12_1	3
PC0088	1sb0_1	3
PC0088	2lqh_1	3
PC0088	5u4k_1	3
PC0089	1t5z_1	3
PC0089	1t63_1	3
PC0089	1xj7_1	3
PC0090	1ugh_1	3
PC0090	3wdg_1	3
PC0090	5ayr_1	3
PC0091	1wr1_2	3
PC0091	2jy6_2	3
PC0091	2mro_2	3
PC0092	1xt9_2	3
PC0092	2hd5_2	3
PC0092	3olm_1	3
PC0093	1zli_1	3
PC0093	3lms_1	3
PC0093	5mrv_1	3
PC0094	1zli_2	3
PC0094	3lms_2	3
PC0094	3osl_2	3
PC0095	2b12_1	3
PC0095	2jti_1	3
PC0095	2pcb_1	3
PC0096	2c1m_1	3
PC0096	3ul1_1	3
PC0096	6k06_2	3
PC0097	2kbw_2	3
PC0097	5ajj_2	3
PC0097	5ua4_2	3
PC0098	2kri_2	3
PC0098	5oy9_2	3
PC0098	5oyl_2	3
PC0099	2l14_2	3
PC0099	2ly4_2	3
PC0099	4xxb_2	3
PC0100	2nqd_2	3
PC0100	2oul_1	3
PC0100	3e1z_2	3
PC0101	2omt_1	3
PC0101	2omu_1	3
PC0101	2omw_1	3
PC0102	2oza_2	3
PC0102	3tei_1	3
PC0102	5v62_1	3
PC0103	2wo2_1	3
PC0103	2wo3_1	3
PC0103	4l0p_1	3
PC0104	2y8s_1	3
PC0104	2y8t_1	3
PC0104	4yiz_1	3
PC0105	3dxc_2	3
PC0105	3dxd_2	3
PC0105	3dxe_2	3
PC0106	3qc8_1	3
PC0106	3qq8_1	3
PC0106	4kdi_1	3
PC0107	3tac_1	3
PC0107	5h9b_1	3
PC0107	5hu3_1	3
PC0108	3zo0_1	3
PC0108	5u4y_1	3
PC0108	5u52_1	3
PC0109	4jra_1	3
PC0109	4kbb_1	3
PC0109	5l21_1	3
PC0110	4jzw_1	3
PC0110	4k0a_1	3
PC0110	4ka2_1	3
PC0111	5elu_1	3
PC0111	5eql_1	3
PC0111	5ml9_2	3
PC0112	5g1x_1	3
PC0112	5l8j_1	3
PC0112	5lxm_1	3
PC0113	5uul_1	3
PC0113	6e3i_1	3
PC0113	6e3j_1	3
PC0114	5uzu_1	3
PC0114	6azp_2	3
PC0114	6bmt_2	3
PC0115	5vwy_2	3
PC0115	5vx0_2	3
PC0115	5vx3_2	3
PC0116	1a22_2	2
PC0116	1axi_2	2
PC0117	1acb_1	2
PC0117	1gl1_1	2
PC0118	1atn_1	2
PC0118	1kxp_1	2
PC0119	1avz_1	2
PC0119	1efn_2	2
PC0120	1bvn_1	2
PC0120	1kxt_1	2
PC0121	1d6r_2	2
PC0121	2g81_2	2
PC0122	1dfj_2	2
PC0122	4per_1	2
PC0123	1dp5_1	2
PC0123	1dpj_1	2
PC0124	1fc2_2	2
PC0124	2iwg_1	2
PC0125	1fmo_1	2
PC0125	2cpk_1	2
PC0126	1jgn_1	2
PC0126	1jh4_1	2
PC0127	1jtd_2	2
PC0127	3qhy_2	2
PC0128	1kbh_2	2
PC0128	2l14_1	2
PC0129	1l4d_1	2
PC0129	1l4z_1	2
PC0130	1l4d_2	2
PC0130	1l4z_2	2
PC0131	1lw6_1	2
PC0131	1y4d_1	2
PC0132	1m10_2	2
PC0132	4c2a_2	2
PC0133	1mah_2	2
PC0133	2qc1_1	2
PC0134	1mcv_2	2
PC0134	1ppe_2	2
PC0135	1o9a_1	2
PC0135	3zrz_1	2
PC0136	1psb_1	2
PC0136	2m49_2	2
PC0137	1q68_2	2
PC0137	1q69_2	2
PC0138	1ry7_1	2
PC0138	2m49_1	2
PC0139	1ry7_2	2
PC0139	3ojm_2	2
PC0140	1sq0_2	2
PC0140	3m18_1	2
PC0141	1syq_2	2
PC0141	6j56_2	2
PC0142	1t01_1	2
PC0142	4dj9_1	2
PC0143	1t0p_1	2
PC0143	3bn3_1	2
PC0144	1ta3_1	2
PC0144	1te1_1	2
PC0145	1te1_2	2
PC0145	2b42_2	2
PC0146	1u0i_1	2
PC0146	1u0i_2	2
PC0147	1u5s_2	2
PC0147	6dcn_2	2
PC0148	1ugh_2	2
PC0148	1uug_2	2
PC0149	1us7_1	2
PC0149	2k5b_1	2
PC0150	1vrk_2	2
PC0150	2kqs_2	2
PC0151	1wqj_2	2
PC0151	2l29_2	2
PC0152	1xdt_2	2
PC0152	5wb7_2	2
PC0153	1xr0_2	2
PC0153	2mfq_1	2
PC0154	1yrt_2	2
PC0154	1yru_2	2
PC0155	1yvb_1	2
PC0155	3pnr_1	2
PC0156	1yx5_1	2
PC0156	1yx6_1	2
PC0157	1zc3_2	2
PC0157	1zc4_2	2
PC0158	2a78_2	2
PC0158	2a9k_2	2
PC0159	2b0z_2	2
PC0159	2b12_2	2
PC0160	2efd_1	2
PC0160	2efh_1	2
PC0161	2efd_2	2
PC0161	2efh_2	2
PC0162	2f31_2	2
PC0162	2w84_2	2
PC0163	2gh0_2	2
PC0163	5mr5_2	2
PC0164	2gng_1	2
PC0164	6mm6_1	2
PC0165	2gox_1	2
PC0165	2wy8_1	2
PC0166	2gox_2	2
PC0166	3d5r_2	2
PC0167	2gww_2	2
PC0167	2hsq_2	2
PC0168	2j0t_1	2
PC0168	3v96_2	2
PC0169	2jjs_1	2
PC0169	4cmm_1	2
PC0170	2jti_2	2
PC0170	2pcb_2	2
PC0171	2k2u_1	2
PC0171	2lox_1	2
PC0172	2k3s_2	2
PC0172	2kxw_1	2
PC0173	2k8b_2	2
PC0173	2k8c_2	2
PC0174	2ktf_2	2
PC0174	5otx_2	2
PC0175	2kwj_1	2
PC0175	5b78_2	2
PC0176	2kwu_1	2
PC0176	2l0f_2	2
PC0177	2lkm_2	2
PC0177	2n1d_2	2
PC0178	2lp0_2	2
PC0178	4zk9_2	2
PC0179	2noj_2	2
PC0179	3d5s_2	2
PC0180	2nqd_1	2
PC0180	2oul_2	2
PC0181	2p1l_1	2
PC0181	2yj1_1	2
PC0182	2pon_1	2
PC0182	3dvu_2	2
PC0183	2px9_2	2
PC0183	6gum_1	2
PC0184	2q5d_2	2
PC0184	3ajb_2	2
PC0185	2vlp_1	2
PC0185	2wpt_1	2
PC0186	2vsm_2	2
PC0186	2wo2_2	2
PC0187	2wel_1	2
PC0187	5g15_1	2
PC0188	2wo3_2	2
PC0188	4l0p_2	2
PC0189	2wqz_1	2
PC0189	5xeq_1	2
PC0190	2yq7_2	2
PC0190	5w89_2	2
PC0191	3c4o_2	2
PC0191	3c4p_2	2
PC0192	3cqc_1	2
PC0192	3cqg_1	2
PC0193	3cx7_2	2
PC0193	3cx8_2	2
PC0194	3d5r_1	2
PC0194	3d5s_1	2
PC0195	3d7t_2	2
PC0195	3gqi_1	2
PC0196	3di2_2	2
PC0196	3di3_2	2
PC0197	3dxc_1	2
PC0197	3dxd_1	2
PC0198	3ff8_2	2
PC0198	4iop_1	2
PC0199	3fju_1	2
PC0199	4bd9_1	2
PC0200	3gj3_2	2
PC0200	3gj7_2	2
PC0201	3gj5_1	2
PC0201	3gj7_1	2
PC0202	3hct_1	2
PC0202	3hcu_1	2
PC0203	3hct_2	2
PC0203	3hcu_2	2
PC0204	3idb_1	2
PC0204	3idc_1	2
PC0205	3kls_2	2
PC0205	5d3i_2	2
PC0206	3knb_1	2
PC0206	4c4k_2	2
PC0207	3me2_1	2
PC0207	5bnq_1	2
PC0208	3mzw_1	2
PC0208	5my6_1	2
PC0209	3nvn_2	2
PC0209	3nvq_2	2
PC0210	3o40_1	2
PC0210	3o43_1	2
PC0211	3ouw_2	2
PC0211	3oux_2	2
PC0212	3qc8_2	2
PC0212	3qq8_2	2
PC0213	3rt0_1	2
PC0213	3ujg_2	2
PC0214	3sjh_2	2
PC0214	3u9z_2	2
PC0215	3sri_1	2
PC0215	3zwz_1	2
PC0216	3tei_2	2
PC0216	5v62_2	2
PC0217	3tg1_1	2
PC0217	3zuv_1	2
PC0218	3u8x_2	2
PC0218	3u9d_2	2
PC0219	3w8h_1	2
PC0219	3w8i_1	2
PC0220	3w8i_2	2
PC0220	4geh_2	2
PC0221	3wdg_2	2
PC0221	5ayr_2	2
PC0222	3wrx_2	2
PC0222	3wry_2	2
PC0223	4a1s_1	2
PC0223	4wnd_1	2
PC0224	4ap2_1	2
PC0224	4apf_2	2
PC0225	4apx_2	2
PC0225	4aqe_2	2
PC0226	4aqe_1	2
PC0226	4xxw_2	2
PC0227	4b1x_2	2
PC0227	4b1y_2	2
PC0228	4cdk_2	2
PC0228	4kt1_2	2
PC0229	4cj2_2	2
PC0229	5zau_2	2
PC0230	4dh2_2	2
PC0230	4uyq_2	2
PC0231	4dkd_1	2
PC0231	4exp_1	2
PC0232	4dxa_2	2
PC0232	4hdo_1	2
PC0233	4ekc_2	2
PC0233	4ekd_2	2
PC0234	4fza_1	2
PC0234	4nzw_1	2
PC0235	4h2s_1	2
