pdb_code	ppi_group	group_size
1zc3	PG0002	108
1zc4	PG0002	108
2a78	PG0002	108
2a9k	PG0002	108
2fju	PG0002	108
2jby	PG0002	108
2kbw	PG0002	108
2kwi	PG0002	108
2m04	PG0002	108
2mfq	PG0002	108
2pon	PG0002	108
2rmk	PG0002	108
2v5q	PG0002	108
2vog	PG0002	108
2voh	PG0002	108
2wh6	PG0002	108
2xpx	PG0002	108
2yq7	PG0002	108
3ch5	PG0002	108
3ddc	PG0002	108
3dvu	PG0002	108
3eg5	PG0002	108
3gj3	PG0002	108
3gj4	PG0002	108
3gj5	PG0002	108
3gj6	PG0002	108
3gj7	PG0002	108
3gj8	PG0002	108
3ixe	PG0002	108
3jza	PG0002	108
3kj0	PG0002	108
3kj1	PG0002	108
3kj2	PG0002	108
3kuc	PG0002	108
3kud	PG0002	108
3kz0	PG0002	108
3r85	PG0002	108
3tg1	PG0002	108
3tkl	PG0002	108
3zu7	PG0002	108
3zuv	PG0002	108
4b93	PG0002	108
4bpk	PG0002	108
4c4p	PG0002	108
4d0g	PG0002	108
4d0n	PG0002	108
4did	PG0002	108
4dxa	PG0002	108
4g01	PG0002	108
4g35	PG0002	108
4hdo	PG0002	108
4hnj	PG0002	108
4js0	PG0002	108
4k5a	PG0002	108
4kvg	PG0002	108
4ojk	PG0002	108
4ol0	PG0002	108
4qxa	PG0002	108
4yc7	PG0002	108
4yj4	PG0002	108
4zii	PG0002	108
5ajj	PG0002	108
5ajk	PG0002	108
5c3f	PG0002	108
5e95	PG0002	108
5fr1	PG0002	108
5fr2	PG0002	108
5ma6	PG0002	108
5mak	PG0002	108
5o2t	PG0002	108
5szh	PG0002	108
5szk	PG0002	108
5tar	PG0002	108
5twa	PG0002	108
5tzp	PG0002	108
5tzq	PG0002	108
5ua4	PG0002	108
5ufe	PG0002	108
5un5	PG0002	108
5uul	PG0002	108
5vmo	PG0002	108
5vwy	PG0002	108
5vx0	PG0002	108
5vx3	PG0002	108
5w89	PG0002	108
5wos	PG0002	108
5xco	PG0002	108
6amb	PG0002	108
6ba6	PG0002	108
6e3i	PG0002	108
6e3j	PG0002	108
6fbx	PG0002	108
6fp7	PG0002	108
6h46	PG0002	108
6h47	PG0002	108
6ndz	PG0002	108
6ne1	PG0002	108
6ne2	PG0002	108
6ne4	PG0002	108
1ay7	PG0003	12
1b27	PG0003	12
1b2s	PG0003	12
1b2u	PG0003	12
1b3s	PG0003	12
1brs	PG0003	12
1x1u	PG0003	12
1x1w	PG0003	12
1x1x	PG0003	12
1x1y	PG0003	12
2za4	PG0003	12
3da7	PG0003	12
1h1v	PG0004	12
1t44	PG0004	12
2btf	PG0004	12
2v51	PG0004	12
2v52	PG0004	12
3sjh	PG0004	12
3u8x	PG0004	12
3u9d	PG0004	12
3u9z	PG0004	12
4b1v	PG0004	12
4b1x	PG0004	12
4b1y	PG0004	12
1pjm	PG0005	10
3qbr	PG0005	10
3ukx	PG0005	10
3ukz	PG0005	10
3ul0	PG0005	10
4uf1	PG0005	10
6bw9	PG0005	10
6iu7	PG0005	10
6iua	PG0005	10
6iwa	PG0005	10
1jtd	PG0006	9
2g2u	PG0006	9
2g2w	PG0006	9
3c4o	PG0006	9
3c4p	PG0006	9
3e2l	PG0006	9
3n4i	PG0006	9
3qhy	PG0006	9
5npo	PG0006	9
1vrk	PG0007	9
2kqs	PG0007	9
2vay	PG0007	9
4lzx	PG0007	9
4m1l	PG0007	9
5tp6	PG0007	9
6mba	PG0007	9
6mc9	PG0007	9
6mud	PG0007	9
2omt	PG0008	9
2omu	PG0008	9
2omv	PG0008	9
2omw	PG0008	9
2omx	PG0008	9
2omy	PG0008	9
2omz	PG0008	9
3ff8	PG0008	9
4iop	PG0008	9
1emv	PG0009	7
2vln	PG0009	7
2vlo	PG0009	7
2vlp	PG0009	7
2vlq	PG0009	7
2wpt	PG0009	7
3u43	PG0009	7
1l8c	PG0010	7
1r8u	PG0010	7
2k8f	PG0010	7
2ka4	PG0010	7
2ka6	PG0010	7
2lww	PG0010	7
2mzd	PG0010	7
1lx5	PG0011	7
1nys	PG0011	7
1s4y	PG0011	7
2gh0	PG0011	7
5mr4	PG0011	7
5mr5	PG0011	7
5vz4	PG0011	7
1rkc	PG0012	7
1rke	PG0012	7
1syq	PG0012	7
1ydi	PG0012	7
2gww	PG0012	7
2hsq	PG0012	7
6j56	PG0012	7
2kwj	PG0013	7
2kwk	PG0013	7
2kwo	PG0013	7
5b75	PG0013	7
5b76	PG0013	7
5b77	PG0013	7
5b78	PG0013	7
2v4z	PG0014	7
3cx6	PG0014	7
3cx7	PG0014	7
3cx8	PG0014	7
3onw	PG0014	7
4ekc	PG0014	7
4ekd	PG0014	7
2mnu	PG0015	6
3rzw	PG0015	6
3uyo	PG0015	6
4je4	PG0015	6
5eg3	PG0015	6
5mtj	PG0015	6
1kac	PG0016	5
1p69	PG0016	5
1p6a	PG0016	5
2j12	PG0016	5
2j1k	PG0016	5
2gox	PG0017	5
2noj	PG0017	5
2wy8	PG0017	5
3d5r	PG0017	5
3d5s	PG0017	5
2m55	PG0018	5
2n8j	PG0018	5
4ehq	PG0018	5
5j8h	PG0018	5
6oqq	PG0018	5
3mzg	PG0019	5
3n06	PG0019	5
3n0p	PG0019	5
3ncb	PG0019	5
3ncc	PG0019	5
5kxh	PG0020	5
5ky0	PG0020	5
5ky4	PG0020	5
5ky5	PG0020	5
5ky9	PG0020	5
1fmo	PG0021	4
2cpk	PG0021	4
2gng	PG0021	4
6mm6	PG0021	4
1j2j	PG0022	4
3bh6	PG0022	4
3doe	PG0022	4
5ee5	PG0022	4
1j7v	PG0023	4
1y6k	PG0023	4
1y6m	PG0023	4
1y6n	PG0023	4
1kbh	PG0024	4
2l14	PG0024	4
2ly4	PG0024	4
4xxb	PG0024	4
1psb	PG0025	4
1ry7	PG0025	4
2m49	PG0025	4
3ojm	PG0025	4
1th1	PG0026	4
1v18	PG0026	4
3ouw	PG0026	4
3oux	PG0026	4
1ugh	PG0027	4
1uug	PG0027	4
3wdg	PG0027	4
5ayr	PG0027	4
1zli	PG0028	4
3lms	PG0028	4
3osl	PG0028	4
5mrv	PG0028	4
2b0z	PG0029	4
2b12	PG0029	4
2jti	PG0029	4
2pcb	PG0029	4
2hev	PG0030	4
3me2	PG0030	4
4giq	PG0030	4
5bnq	PG0030	4
2rnr	PG0031	4
2ruk	PG0031	4
2rvb	PG0031	4
5xv8	PG0031	4
2ver	PG0032	4
6aw2	PG0032	4
6gbg	PG0032	4
6gbh	PG0032	4
2vsm	PG0033	4
2wo2	PG0033	4
2wo3	PG0033	4
4l0p	PG0033	4
2wp3	PG0034	4
2wwk	PG0034	4
3knb	PG0034	4
4c4k	PG0034	4
3f50	PG0035	4
3o40	PG0035	4
3o43	PG0035	4
4dzv	PG0035	4
3p71	PG0036	4
5inb	PG0036	4
5j28	PG0036	4
5zqv	PG0036	4
1ak4	PG0037	3
2x2d	PG0037	3
2xgy	PG0037	3
1sb0	PG0038	3
2lqh	PG0038	3
5u4k	PG0038	3
1t5z	PG0039	3
1t63	PG0039	3
1xj7	PG0039	3
1ta3	PG0040	3
1te1	PG0040	3
2b42	PG0040	3
1xt9	PG0041	3
2hd5	PG0041	3
3olm	PG0041	3
2a24	PG0042	3
3f1p	PG0042	3
4h6j	PG0042	3
2be6	PG0043	3
2lqc	PG0043	3
3tz1	PG0043	3
2c1m	PG0044	3
3ul1	PG0044	3
6k06	PG0044	3
2kri	PG0045	3
5oy9	PG0045	3
5oyl	PG0045	3
2nqd	PG0046	3
2oul	PG0046	3
3e1z	PG0046	3
2oza	PG0047	3
3tei	PG0047	3
5v62	PG0047	3
2y8s	PG0048	3
2y8t	PG0048	3
4yiz	PG0048	3
3dxc	PG0049	3
3dxd	PG0049	3
3dxe	PG0049	3
3qc8	PG0050	3
3qq8	PG0050	3
4kdi	PG0050	3
3tac	PG0051	3
5h9b	PG0051	3
5hu3	PG0051	3
3w8h	PG0052	3
3w8i	PG0052	3
4geh	PG0052	3
4apx	PG0053	3
4aqe	PG0053	3
4xxw	PG0053	3
4jzw	PG0054	3
4k0a	PG0054	3
4ka2	PG0054	3
5et1	PG0055	3
5ma3	PG0055	3
5ma4	PG0055	3
5uzu	PG0056	3
6azp	PG0056	3
6bmt	PG0056	3
1a22	PG0057	2
1axi	PG0057	2
1atn	PG0058	2
1kxp	PG0058	2
1bvn	PG0059	2
1kxt	PG0059	2
1dp5	PG0060	2
1dpj	PG0060	2
1fc2	PG0061	2
2iwg	PG0061	2
1jgn	PG0062	2
1jh4	PG0062	2
1l4d	PG0063	2
1l4z	PG0063	2
1mah	PG0064	2
2qc1	PG0064	2
1o9a	PG0065	2
3zrz	PG0065	2
1q68	PG0066	2
1q69	PG0066	2
1t01	PG0067	2
4dj9	PG0067	2
1t0p	PG0068	2
3bn3	PG0068	2
1us7	PG0069	2
2k5b	PG0069	2
1wqj	PG0070	2
2l29	PG0070	2
1xdt	PG0071	2
5wb7	PG0071	2
1yrt	PG0072	2
1yru	PG0072	2
1yvb	PG0073	2
3pnr	PG0073	2
2efd	PG0074	2
2efh	PG0074	2
2f31	PG0075	2
2w84	PG0075	2
2j0t	PG0076	2
3v96	PG0076	2
2k2u	PG0077	2
2lox	PG0077	2
2k3s	PG0078	2
2kxw	PG0078	2
2lkm	PG0079	2
2n1d	PG0079	2
2lp0	PG0080	2
4zk9	PG0080	2
2p1l	PG0081	2
2yj1	PG0081	2
2px9	PG0082	2
6gum	PG0082	2
2q5d	PG0083	2
3ajb	PG0083	2
2wqz	PG0084	2
5xeq	PG0084	2
3cqc	PG0085	2
3cqg	PG0085	2
3d7t	PG0086	2
3gqi	PG0086	2
3di2	PG0087	2
3di3	PG0087	2
3fju	PG0088	2
4bd9	PG0088	2
3hct	PG0089	2
3hcu	PG0089	2
3idb	PG0090	2
3idc	PG0090	2
3kls	PG0091	2
5d3i	PG0091	2
3nvn	PG0092	2
3nvq	PG0092	2
3rt0	PG0093	2
3ujg	PG0093	2
3sri	PG0094	2
3zwz	PG0094	2
3wrx	PG0095	2
3wry	PG0095	2
4a1s	PG0096	2
4wnd	PG0096	2
4ap2	PG0097	2
4apf	PG0097	2
4cdk	PG0098	2
4kt1	PG0098	2
4dh2	PG0099	2
4uyq	PG0099	2
4dkd	PG0100	2
4exp	PG0100	2
4fza	PG0101	2
4nzw	PG0101	2
4h2s	PG0102	2
4h2w	PG0102	2
4jeh	PG0103	2
4jeu	PG0103	2
4kr0	PG0104	2
4qzv	PG0104	2
4nm3	PG0105	2
4nu1	PG0105	2
4rey	PG0106	2
5h3j	PG0106	2
4y61	PG0107	2
5xwt	PG0107	2
5cx3	PG0108	2
6aaf	PG0108	2
5cxb	PG0109	2
5cyk	PG0109	2
5f4e	PG0110	2
5jke	PG0110	2
5ij0	PG0111	2
5ij9	PG0111	2
5lz3	PG0112	2
5lz6	PG0112	2
5m72	PG0113	2
5wrv	PG0113	2
5mv9	PG0114	2
5xbf	PG0114	2
6eg0	PG0115	2
6eg1	PG0115	2
6f0f	PG0116	2
6f0g	PG0116	2
6fub	PG0117	2
6fud	PG0117	2
6ht9	PG0118	2
6saz	PG0118	2
6ihb	PG0119	2
6jcs	PG0119	2
6kbm	PG0120	2
6kbn	PG0120	2
6mav	PG0121	2
6n9d	PG0121	2
6oqj	PG0122	2
6oqk	PG0122	2
6p7s	PG0123	2
6p7y	PG0123	2
1ava	PG0124	1
1buh	PG0125	1
1dhk	PG0126	1
1djs	PG0127	1
1es0	PG0128	1
1f34	PG0129	1
1f3v	PG0130	1
1ffw	PG0131	1
1gla	PG0132	1
1gng	PG0133	1
1gxd	PG0134	1
1h59	PG0135	1
1i4e	PG0136	1
1i8l	PG0137	1
1jiw	PG0138	1
1jsp	PG0139	1
1ktk	PG0140	1
1ktz	PG0141	1
1mq8	PG0142	1
1mzw	PG0143	1
1nw9	PG0144	1
1nyu	PG0145	1
1oey	PG0146	1
1oyh	PG0147	1
1ozs	PG0148	1
1p27	PG0149	1
1pd7	PG0150	1
1pk1	PG0151	1
1pvh	PG0152	1
1pxv	PG0153	1
1qa9	PG0154	1
1rpq	PG0155	1
1sv0	PG0156	1
1t6b	PG0157	1
1tba	PG0158	1
1tdq	PG0159	1
1tlh	PG0160	1
1tzn	PG0161	1
1u0i	PG0162	1
1u0s	PG0163	1
1uel	PG0164	1
1ul1	PG0165	1
1usu	PG0166	1
1usv	PG0167	1
1vet	PG0168	1
1veu	PG0169	1
1vg0	PG0170	1
1vyt	PG0171	1
1wa8	PG0172	1
1wlp	PG0173	1
1wpx	PG0174	1
1wve	PG0175	1
1xg2	PG0176	1
1xqh	PG0177	1
1xqs	PG0178	1
1y8n	PG0179	1
1z92	PG0180	1
1zhi	PG0181	1
2a7u	PG0182	1
2ajf	PG0183	1
2arp	PG0184	1
2b7c	PG0185	1
2bqz	PG0186	1
2c0l	PG0187	1
2d10	PG0188	1
2djy	PG0189	1
2dsp	PG0190	1
2f4m	PG0191	1
2f9z	PG0192	1
2few	PG0193	1
2fu5	PG0194	1
2fyl	PG0195	1
2h4m	PG0196	1
2hle	PG0197	1
2hqw	PG0198	1
2hrk	PG0199	1
2ihs	PG0200	1
2ixq	PG0201	1
2jgz	PG0202	1
2jod	PG0203	1
2ju0	PG0204	1
2k2s	PG0205	1
2k42	PG0206	1
2kc8	PG0207	1
2kgx	PG0208	1
2khs	PG0209	1
2kj4	PG0210	1
2kt5	PG0211	1
2kvq	PG0212	1
2kxh	PG0213	1
2l1l	PG0214	1
2l2l	PG0215	1
2l9s	PG0216	1
2ld7	PG0217	1
2leh	PG0218	1
2lfw	PG0219	1
2lp4	PG0220	1
2lpb	PG0221	1
2luh	PG0222	1
2lxm	PG0223	1
2m0g	PG0224	1
2m86	PG0225	1
2mej	PG0226	1
2mp0	PG0227	1
2mv7	PG0228	1
2mws	PG0229	1
2n2h	PG0230	1
2n73	PG0231	1
2nbv	PG0232	1
2o3b	PG0233	1
2o8v	PG0234	1
2ot3	PG0235	1
2ot8	PG0236	1
2p8q	PG0237	1
2pop	PG0238	1
2psm	PG0239	1
2ptt	PG0240	1
2qna	PG0241	1
2qur	PG0242	1
2qxv	PG0243	1
2rms	PG0244	1
2roz	PG0245	1
2rr3	PG0246	1
2v3b	PG0247	1
2v6x	PG0248	1
2v8s	PG0249	1
2v9t	PG0250	1
2vda	PG0251	1
2vdb	PG0252	1
2ve7	PG0253	1
2voi	PG0254	1
2w19	PG0255	1
2wd5	PG0256	1
2wfx	PG0257	1
2wg4	PG0258	1
2wjv	PG0259	1
2wp0	PG0260	1
2wwx	PG0261	1
2wy3	PG0262	1
2x1x	PG0263	1
2xb6	PG0264	1
2xdf	PG0265	1
2xhe	PG0266	1
2xns	PG0267	1
2xqr	PG0268	1
2y9m	PG0269	1
2yvj	PG0270	1
2zvk	PG0271	1
3alz	PG0272	1
3aon	PG0273	1
3au4	PG0274	1
3beg	PG0275	1
3blh	PG0276	1
3bp8	PG0277	1
3bs5	PG0278	1
3c4m	PG0279	1
3c66	PG0280	1
3cqx	PG0281	1
3e2k	PG0282	1
3eab	PG0283	1
3ejj	PG0284	1
3eoy	PG0285	1
3f7p	PG0286	1
3fhc	PG0287	1
3fii	PG0288	1
3fpu	PG0289	1
3g7a	PG0290	1
3g9v	PG0291	1
3g9w	PG0292	1
3gb8	PG0293	1
3gc3	PG0294	1
3gni	PG0295	1
3gty	PG0296	1
3gxu	PG0297	1
3h2u	PG0298	1
3h3g	PG0299	1
3ho5	PG0300	1
3ia3	PG0301	1
3ifq	PG0302	1
3inb	PG0303	1
3k75	PG0304	1
3k8p	PG0305	1
3kbt	PG0306	1
3kyi	PG0307	1
3l9j	PG0308	1
3lbx	PG0309	1
3m63	PG0310	1
3mca	PG0311	1
3mj7	PG0312	1
3n00	PG0313	1
3o34	PG0314	1
3o5t	PG0315	1
3o6b	PG0316	1
3oak	PG0317	1
3oiq	PG0318	1
3oky	PG0319	1
3ol2	PG0320	1
3ona	PG0321	1
3onl	PG0322	1
3oun	PG0323	1
3pvm	PG0324	1
3qbv	PG0325	1
3qlu	PG0326	1
3qs7	PG0327	1
3qwq	PG0328	1
3r4d	PG0329	1
3r9a	PG0330	1
3rgf	PG0331	1
3ro2	PG0332	1
3sku	PG0333	1
3t6g	PG0334	1
3tsr	PG0335	1
3tu3	PG0336	1
3twi	PG0337	1
3ul4	PG0338	1
3v6b	PG0339	1
3vpj	PG0340	1
3vyr	PG0341	1
3wa5	PG0342	1
3wkt	PG0343	1
3wqb	PG0344	1
3wwn	PG0345	1
3zet	PG0346	1
3znz	PG0347	1
3zwl	PG0348	1
3zyi	PG0349	1
4awx	PG0350	1
4ayi	PG0351	1
4bfi	PG0352	1
4bkx	PG0353	1
4brw	PG0354	1
4c5g	PG0355	1
4c9b	PG0356	1
4cj0	PG0357	1
4cj1	PG0358	1
4ct0	PG0359	1
4cu4	PG0360	1
4cvw	PG0361	1
4dbg	PG0362	1
4di3	PG0363	1
4dm8	PG0364	1
4dra	PG0365	1
4ds8	PG0366	1
4dt1	PG0367	1
4eee	PG0368	1
4eoz	PG0369	1
4etp	PG0370	1
4euk	PG0371	1
4f38	PG0372	1
4f48	PG0373	1
4fq0	PG0374	1
4fzv	PG0375	1
4g6u	PG0376	1
4gaf	PG0377	1
4gh7	PG0378	1
4h3p	PG0379	1
4h5s	PG0380	1
4hff	PG0381	1
4hrl	PG0382	1
4i9x	PG0383	1
4ihh	PG0384	1
4ika	PG0385	1
4iu3	PG0386	1
4iyp	PG0387	1
4j32	PG0388	1
4jw2	PG0389	1
4jw3	PG0390	1
4kfz	PG0391	1
4kt3	PG0392	1
4l67	PG0393	1
4lad	PG0394	1
4lrx	PG0395	1
4m5f	PG0396	1
4mi8	PG0397	1
4mrt	PG0398	1
4n7v	PG0399	1
4n7z	PG0400	1
4nqw	PG0401	1
4nso	PG0402	1
4ofy	PG0403	1
4p3y	PG0404	1
4pas	PG0405	1
4pbw	PG0406	1
4pbz	PG0407	1
4pc0	PG0408	1
4plo	PG0409	1
4pw9	PG0410	1
4pz6	PG0411	1
4qlb	PG0412	1
4qlp	PG0413	1
4re1	PG0414	1
4rs1	PG0415	1
4rt6	PG0416	1
4s0s	PG0417	1
4tq0	PG0418	1
4tq1	PG0419	1
4u2x	PG0420	1
4u4c	PG0421	1
4udm	PG0422	1
4uem	PG0423	1
4uwx	PG0424	1
4x33	PG0425	1
4x7d	PG0426	1
4xl1	PG0427	1
4xl5	PG0428	1
4xlw	PG0429	1
4xwj	PG0430	1
4y5o	PG0431	1
4ydh	PG0432	1
4yeb	PG0433	1
4yh7	PG0434	1
4yl8	PG0435	1
4yn0	PG0436	1
4yoc	PG0437	1
4yvq	PG0438	1
4yyp	PG0439	1
4z80	PG0440	1
4zgq	PG0441	1
4zgy	PG0442	1
4zi2	PG0443	1
4zqu	PG0444	1
4zrj	PG0445	1
4zw2	PG0446	1
5b64	PG0447	1
5bn5	PG0448	1
5chv	PG0449	1
5ctr	PG0450	1
5czf	PG0451	1
5d28	PG0452	1
5dcq	PG0453	1
5dob	PG0454	1
5e6p	PG0455	1
5eb1	PG0456	1
5eo9	PG0457	1
5f3x	PG0458	1
5f5s	PG0459	1
5ft8	PG0460	1
5fw5	PG0461	1
5fzt	PG0462	1
5gjk	PG0463	1
5glh	PG0464	1
5gpg	PG0465	1
5gtb	PG0466	1
5gy2	PG0467	1
5h7y	PG0468	1
5imt	PG0469	1
5ixd	PG0470	1
5jg6	PG0471	1
5jjd	PG0472	1
5jw7	PG0473	1
5jw9	PG0474	1
5k22	PG0475	1
5k8q	PG0476	1
5kho	PG0477	1
5lgk	PG0478	1
5li1	PG0479	1
5lrw	PG0480	1
5m36	PG0481	1
5me5	PG0482	1
5mv8	PG0483	1
5nt1	PG0484	1
5nt7	PG0485	1
5nus	PG0486	1
5nvm	PG0487	1
5nwm	PG0488	1
5o90	PG0489	1
5oaq	PG0490	1
5odw	PG0491	1
5oen	PG0492	1
5omb	PG0493	1
5swk	PG0494	1
5szi	PG0495	1
5szj	PG0496	1
5t0f	PG0497	1
5uk5	PG0498	1
5un7	PG0499	1
5uwc	PG0500	1
5v52	PG0501	1
5vkl	PG0502	1
5vko	PG0503	1
5vxz	PG0504	1
5w3x	PG0505	1
5wgg	PG0506	1
5wpa	PG0507	1
5wuj	PG0508	1
5wy2	PG0509	1
5x0w	PG0510	1
5xda	PG0511	1
5xjg	PG0512	1
5xln	PG0513	1
5xnp	PG0514	1
5xoc	PG0515	1
5xod	PG0516	1
5xqz	PG0517	1
5y1z	PG0518	1
5yi8	PG0519	1
5yip	PG0520	1
5yqz	PG0521	1
5yr0	PG0522	1
5z2w	PG0523	1
5z78	PG0524	1
5zo2	PG0525	1
6akm	PG0526	1
6arq	PG0527	1
6atk	PG0528	1
6b12	PG0529	1
6bxa	PG0530	1
6d13	PG0531	1
6dsl	PG0532	1
6e2p	PG0533	1
6er6	PG0534	1
